,code,name,project_name,countryname
0,8,Human development,Ethiopia General Education Quality Improvement Project II,Federal Democratic Republic of Ethiopia
1,11,,Ethiopia General Education Quality Improvement Project II,Federal Democratic Republic of Ethiopia
2,1,Economic management,TN: DTF Social Protection Reforms Support,Republic of Tunisia
3,6,Social protection and risk management,TN: DTF Social Protection Reforms Support,Republic of Tunisia
4,5,Trade and integration,Tuvalu Aviation Investment Project - Additional Financing,Tuvalu
5,2,Public sector governance,Tuvalu Aviation Investment Project - Additional Financing,Tuvalu
6,11,Environment and natural resources management,Tuvalu Aviation Investment Project - Additional Financing,Tuvalu
7,6,Social protection and risk management,Tuvalu Aviation Investment Project - Additional Financing,Tuvalu
8,7,Social dev/gender/inclusion,Gov't and Civil Society Organization Partnership,Republic of Yemen
9,7,Social dev/gender/inclusion,Gov't and Civil Society Organization Partnership,Republic of Yemen
10,5,Trade and integration,Second Private Sector Competitiveness and Economic Diversification Prj,Kingdom of Lesotho
11,4,Financial and private sector development,Second Private Sector Competitiveness and Economic Diversification Prj,Kingdom of Lesotho
12,6,Social protection and risk management,Additional Financing for Cash Transfers for Orphans and Vulnerable Children,Republic of Kenya
13,6,,Additional Financing for Cash Transfers for Orphans and Vulnerable Children,Republic of Kenya
14,2,Public sector governance,National Highways Interconnectivity Improvement Project,Republic of India
15,4,Financial and private sector development,National Highways Interconnectivity Improvement Project,Republic of India
16,11,Environment and natural resources management,China Renewable Energy Scale-Up Program Phase II,People's Republic of China
17,8,,China Renewable Energy Scale-Up Program Phase II,People's Republic of China
18,10,Rural development,Rajasthan Road Sector Modernization Project,Republic of India
19,7,,Rajasthan Road Sector Modernization Project,Republic of India
20,2,Public sector governance,MA Accountability and Transparency DPL,Kingdom of Morocco
21,2,Public sector governance,MA Accountability and Transparency DPL,Kingdom of Morocco
22,2,Public sector governance,MA Accountability and Transparency DPL,Kingdom of Morocco
23,10,Rural development,Southern Sudan Emergency Food Crisis Response Project- AF III,Republic of South Sudan
24,2,,Southern Sudan Emergency Food Crisis Response Project- AF III,Republic of South Sudan
